entry,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Lab,yield,Base_Name,Ligand_Name,Solvent_Name
13,O=C([O-])C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,B,0,Cesium acetate,Di-tert-butylphenylphosphine,DMAc
14,O=C([O-])C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,B,29.31,Cesium acetate,(t-Bu)PhCPhos,DMAc
15,O=C([O-])C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,B,12.83,Cesium acetate,Tricyclohexylphosphine,DMAc
16,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,B,62.82,Cesium acetate,PPh3,DMAc
17,O=C([O-])C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,B,87.83,Cesium acetate,XPhos,DMAc
18,O=C([O-])C(C)(C)C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,B,0,Cesium pivalate,BrettPhos,DMAc
19,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,B,0,Cesium pivalate,Di-tert-butylphenylphosphine,DMAc
20,O=C([O-])C(C)(C)C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,B,7.62,Cesium pivalate,(t-Bu)PhCPhos,DMAc
21,O=C([O-])C(C)(C)C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,B,8.85,Cesium pivalate,Tricyclohexylphosphine,DMAc
22,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,B,52.05,Cesium pivalate,PPh3,DMAc
23,O=C([O-])C(C)(C)C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,B,29.16,Cesium pivalate,XPhos,DMAc
24,O=C([O-])C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCC#N,0.1,B,18.44,Potassium acetate,BrettPhos,Butyornitrile
25,O=C([O-])C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCC#N,0.1,B,0,Potassium acetate,Di-tert-butylphenylphosphine,Butyornitrile
26,O=C([O-])C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCC#N,0.1,B,6.17,Potassium acetate,(t-Bu)PhCPhos,Butyornitrile
27,O=C([O-])C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCC#N,0.1,B,0,Potassium acetate,Tricyclohexylphosphine,Butyornitrile
28,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCC#N,0.1,B,6.24,Potassium acetate,PPh3,Butyornitrile
29,O=C([O-])C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCC#N,0.1,B,47.3,Potassium acetate,XPhos,Butyornitrile
30,O=C([O-])C(C)(C)C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCC#N,0.1,B,56.05,Potassium pivalate,BrettPhos,Butyornitrile
31,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCC#N,0.1,B,0,Potassium pivalate,Di-tert-butylphenylphosphine,Butyornitrile
32,O=C([O-])C(C)(C)C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCC#N,0.1,B,6.39,Potassium pivalate,(t-Bu)PhCPhos,Butyornitrile
33,O=C([O-])C(C)(C)C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCC#N,0.1,B,0.35,Potassium pivalate,Tricyclohexylphosphine,Butyornitrile
34,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCC#N,0.1,B,4.28,Potassium pivalate,PPh3,Butyornitrile
35,O=C([O-])C(C)(C)C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCC#N,0.1,B,56.14,Potassium pivalate,XPhos,Butyornitrile
36,O=C([O-])C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCC#N,0.1,B,64.48,Cesium acetate,BrettPhos,Butyornitrile
37,O=C([O-])C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCC#N,0.1,B,0,Cesium acetate,Di-tert-butylphenylphosphine,Butyornitrile
38,O=C([O-])C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCC#N,0.1,B,5.88,Cesium acetate,(t-Bu)PhCPhos,Butyornitrile
39,O=C([O-])C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCC#N,0.1,B,0.57,Cesium acetate,Tricyclohexylphosphine,Butyornitrile
40,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCC#N,0.1,B,3.21,Cesium acetate,PPh3,Butyornitrile
41,O=C([O-])C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCC#N,0.1,B,83.83,Cesium acetate,XPhos,Butyornitrile
42,O=C([O-])C(C)(C)C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCC#N,0.1,B,55.41,Cesium pivalate,BrettPhos,Butyornitrile
43,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCC#N,0.1,B,0,Cesium pivalate,Di-tert-butylphenylphosphine,Butyornitrile
44,O=C([O-])C(C)(C)C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCC#N,0.1,B,5.41,Cesium pivalate,(t-Bu)PhCPhos,Butyornitrile
45,O=C([O-])C(C)(C)C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCC#N,0.1,B,0.33,Cesium pivalate,Tricyclohexylphosphine,Butyornitrile
46,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCC#N,0.1,B,3.44,Cesium pivalate,PPh3,Butyornitrile
47,O=C([O-])C(C)(C)C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCC#N,0.1,B,68.53,Cesium pivalate,XPhos,Butyornitrile
48,O=C([O-])C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCCOC(C)=O,0.1,B,17.09,Potassium acetate,BrettPhos,Butyl Ester
49,O=C([O-])C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCCOC(C)=O,0.1,B,0,Potassium acetate,Di-tert-butylphenylphosphine,Butyl Ester
50,O=C([O-])C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,0,Potassium acetate,(t-Bu)PhCPhos,Butyl Ester
51,O=C([O-])C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCCOC(C)=O,0.1,B,0,Potassium acetate,Tricyclohexylphosphine,Butyl Ester
52,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,3.41,Potassium acetate,PPh3,Butyl Ester
53,O=C([O-])C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCCOC(C)=O,0.1,B,64.62,Potassium acetate,XPhos,Butyl Ester
54,O=C([O-])C(C)(C)C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCCOC(C)=O,0.1,B,49.22,Potassium pivalate,BrettPhos,Butyl Ester
55,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCCOC(C)=O,0.1,B,0,Potassium pivalate,Di-tert-butylphenylphosphine,Butyl Ester
56,O=C([O-])C(C)(C)C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,22.75,Potassium pivalate,(t-Bu)PhCPhos,Butyl Ester
57,O=C([O-])C(C)(C)C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCCOC(C)=O,0.1,B,0,Potassium pivalate,Tricyclohexylphosphine,Butyl Ester
58,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,1.92,Potassium pivalate,PPh3,Butyl Ester
59,O=C([O-])C(C)(C)C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCCOC(C)=O,0.1,B,48.25,Potassium pivalate,XPhos,Butyl Ester
60,O=C([O-])C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCCOC(C)=O,0.1,B,26.64,Cesium acetate,BrettPhos,Butyl Ester
61,O=C([O-])C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCCOC(C)=O,0.1,B,0,Cesium acetate,Di-tert-butylphenylphosphine,Butyl Ester
62,O=C([O-])C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,0,Cesium acetate,(t-Bu)PhCPhos,Butyl Ester
63,O=C([O-])C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCCOC(C)=O,0.1,B,0,Cesium acetate,Tricyclohexylphosphine,Butyl Ester
64,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,4.22,Cesium acetate,PPh3,Butyl Ester
65,O=C([O-])C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCCOC(C)=O,0.1,B,86.43,Cesium acetate,XPhos,Butyl Ester
66,O=C([O-])C(C)(C)C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCCOC(C)=O,0.1,B,27.48,Cesium pivalate,BrettPhos,Butyl Ester
67,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CCCCOC(C)=O,0.1,B,0,Cesium pivalate,Di-tert-butylphenylphosphine,Butyl Ester
68,O=C([O-])C(C)(C)C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,15.16,Cesium pivalate,(t-Bu)PhCPhos,Butyl Ester
69,O=C([O-])C(C)(C)C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CCCCOC(C)=O,0.1,B,0,Cesium pivalate,Tricyclohexylphosphine,Butyl Ester
70,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CCCCOC(C)=O,0.1,B,0.91,Cesium pivalate,PPh3,Butyl Ester
71,O=C([O-])C(C)(C)C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CCCCOC(C)=O,0.1,B,59.92,Cesium pivalate,XPhos,Butyl Ester
72,O=C([O-])C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC1=CC=C(C)C=C1,0.1,B,16.44,Potassium acetate,BrettPhos,p-Xylene
73,O=C([O-])C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,B,0,Potassium acetate,Di-tert-butylphenylphosphine,p-Xylene
74,O=C([O-])C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,6.39,Potassium acetate,(t-Bu)PhCPhos,p-Xylene
75,O=C([O-])C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC1=CC=C(C)C=C1,0.1,B,0,Potassium acetate,Tricyclohexylphosphine,p-Xylene
76,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,2.06,Potassium acetate,PPh3,p-Xylene
77,O=C([O-])C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC1=CC=C(C)C=C1,0.1,B,43.76,Potassium acetate,XPhos,p-Xylene
78,O=C([O-])C(C)(C)C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC1=CC=C(C)C=C1,0.1,B,29.17,Potassium pivalate,BrettPhos,p-Xylene
79,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,B,0,Potassium pivalate,Di-tert-butylphenylphosphine,p-Xylene
80,O=C([O-])C(C)(C)C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,14.92,Potassium pivalate,(t-Bu)PhCPhos,p-Xylene
81,O=C([O-])C(C)(C)C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC1=CC=C(C)C=C1,0.1,B,0,Potassium pivalate,Tricyclohexylphosphine,p-Xylene
82,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,1.41,Potassium pivalate,PPh3,p-Xylene
83,O=C([O-])C(C)(C)C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC1=CC=C(C)C=C1,0.1,B,35.07,Potassium pivalate,XPhos,p-Xylene
84,O=C([O-])C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC1=CC=C(C)C=C1,0.1,B,40.03,Cesium acetate,BrettPhos,p-Xylene
85,O=C([O-])C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,B,0,Cesium acetate,Di-tert-butylphenylphosphine,p-Xylene
86,O=C([O-])C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,19.51,Cesium acetate,(t-Bu)PhCPhos,p-Xylene
87,O=C([O-])C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC1=CC=C(C)C=C1,0.1,B,0.55,Cesium acetate,Tricyclohexylphosphine,p-Xylene
88,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,10.5,Cesium acetate,PPh3,p-Xylene
89,O=C([O-])C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC1=CC=C(C)C=C1,0.1,B,67.17,Cesium acetate,XPhos,p-Xylene
90,O=C([O-])C(C)(C)C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC1=CC=C(C)C=C1,0.1,B,21.54,Cesium pivalate,BrettPhos,p-Xylene
91,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC1=CC=C(C)C=C1,0.1,B,0,Cesium pivalate,Di-tert-butylphenylphosphine,p-Xylene
92,O=C([O-])C(C)(C)C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,28.65,Cesium pivalate,(t-Bu)PhCPhos,p-Xylene
93,O=C([O-])C(C)(C)C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC1=CC=C(C)C=C1,0.1,B,0,Cesium pivalate,Tricyclohexylphosphine,p-Xylene
94,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.1,B,0.66,Cesium pivalate,PPh3,p-Xylene
95,O=C([O-])C(C)(C)C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC1=CC=C(C)C=C1,0.1,B,53.63,Cesium pivalate,XPhos,p-Xylene
96,O=C([O-])C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,A,5.22,Potassium acetate,BrettPhos,DMAc
97,O=C([O-])C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,A,0,Potassium acetate,Di-tert-butylphenylphosphine,DMAc
98,O=C([O-])C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,47.03,Potassium acetate,(t-Bu)PhCPhos,DMAc
99,O=C([O-])C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,A,1.71,Potassium acetate,Tricyclohexylphosphine,DMAc
100,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,14.29,Potassium acetate,PPh3,DMAc
101,O=C([O-])C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,A,38.03,Potassium acetate,XPhos,DMAc
102,O=C([O-])C(C)(C)C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,A,0,Potassium pivalate,BrettPhos,DMAc
103,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,A,0,Potassium pivalate,Di-tert-butylphenylphosphine,DMAc
104,O=C([O-])C(C)(C)C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,10.12,Potassium pivalate,(t-Bu)PhCPhos,DMAc
105,O=C([O-])C(C)(C)C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,A,3.01,Potassium pivalate,Tricyclohexylphosphine,DMAc
106,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,38.78,Potassium pivalate,PPh3,DMAc
107,O=C([O-])C(C)(C)C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,A,55.17,Potassium pivalate,XPhos,DMAc
108,O=C([O-])C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,A,4.23,Cesium acetate,BrettPhos,DMAc
109,O=C([O-])C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,A,0,Cesium acetate,Di-tert-butylphenylphosphine,DMAc
110,O=C([O-])C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,17.74,Cesium acetate,(t-Bu)PhCPhos,DMAc
111,O=C([O-])C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,A,4.02,Cesium acetate,Tricyclohexylphosphine,DMAc
112,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,32.36,Cesium acetate,PPh3,DMAc
113,O=C([O-])C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,A,84.17,Cesium acetate,XPhos,DMAc
114,O=C([O-])C(C)(C)C.[Cs+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,A,0,Cesium pivalate,BrettPhos,DMAc
115,O=C([O-])C(C)(C)C.[Cs+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,A,0,Cesium pivalate,Di-tert-butylphenylphosphine,DMAc
116,O=C([O-])C(C)(C)C.[Cs+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,4.77,Cesium pivalate,(t-Bu)PhCPhos,DMAc
117,O=C([O-])C(C)(C)C.[Cs+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,A,3.69,Cesium pivalate,Tricyclohexylphosphine,DMAc
118,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,A,33.59,Cesium pivalate,PPh3,DMAc
119,O=C([O-])C(C)(C)C.[Cs+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,A,22.94,Cesium pivalate,XPhos,DMAc
120,O=C([O-])C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CCCC#N,0.1,A,9.66,Potassium acetate,BrettPhos,Butyornitrile
